display_name,id
ADAIR BOROUGHS (SC-02),H0SC02061
ALEX MORSE (MA-01),H0MA01081
ANDERSON FERGUSON (GA-03),H6GA03113
ANDOM GHEBREGHIORGIS (NY-16),H0NY16135
ANDREW HARRIS (MD-01),H8MD01094
ANDREW ROMANOFF (CO-SEN),S0CO00286
ANDY BARR (KY-06),H0KY06104
ANN KUSTER (NH-02),H0NH02181
ANN WAGNER (MO-02),H2MO02102
ARATI KREIBICH (NJ-05),H0NJ05208
ASHLEY ARENHOLZ (IA-01),H0IA01174
AUDREY DENNEY (CA-01),H8CA01257
BARBARA LEE (CA-13),H8CA09060
BEN GLEIBERMAN (USA),P00011726
BENJAMIN SASSE (NE-SEN),S4NE00090
BETSY LONDRIGAN (IL-13),H8IL13150
BETSY SWEET (ME-SEN),S0ME00103
BILL DE BLASIO (USA),P00012054
BRAD WENSTRUP (OH-02),H2OH02085
BRADLEY SCHNEIDER (IL-10),H2IL10068
BRIAN BABIN (TX-36),H6TX02079
BRIAN FITZPATRICK (PA-01),H6PA08277
BRIAN MAST (FL-18),H6FL18097
CANDACE VALENZUELA (TX-24),H0TX24175
CAROL MILLER (WV-03),H8WV03097
CAROLYN BOURDEAUX (GA-07),H8GA07201
CAROLYN LONG (WA-03),H8WA03198
CATHY MCMORRIS RODGERS (WA-05),H4WA05077
CHRISSY HOULAHAN (PA-06),H8PA06087
CHRISTOPHER COONS (DE-SEN),S0DE00092
CINDY HYDE-SMITH (MS-SEN),S8MS00261
CORY GARDNER (CO-SEN),S4CO00395
DAN SULLIVAN (AK-SEN),S4AK00214
DANA BALTER (NY-24),H8NY24090
DANIEL CRENSHAW (TX-02),H8TX02166
DANIEL MCCREADY (NC-09),H8NC09123
DAVID PERDUE (GA-SEN),S4GA11285
DAVID VALADAO (CA-21),H2CA20094
DAVID YOUNG (IA-03),H4IA03115
DEAN PHILLIPS (MN-03),H8MN03143
DEBBIE LESKO (AZ-08),H8AZ08158
DENVER RIGGLEMAN (VA-05),H8VA05171
DEVIN NUNES (CA-22),H8CA20059
DIANE MITSCH BUSH (CO-03),H8CO03192
DONALD BACON (NE-02),H6NE02125
DONALD YOUNG (AK-AL),H6AK00045
DONNA SHALALA (FL-27),H8FL27193
DOUGLAS COLLINS (GA-09),H2GA09150
EDWARD TERRY (GA-SEN),S0GA00419
ELIJAH CUMMINGS (MD-07),H6MD07160
ELISA CARDNELL (TX-02),H0TX02080
ELISE STEFANIK (NY-21),H4NY21079
ELIZABETH CHENEY (WY-AL),H6WY00159
ERIC EARLY (CA-28),H0CA28182
ERNEST GONZALES (TX-35),H0TX35015
EUGENE DEPASQUALE (PA-10),H0PA10110
FREDERICK UPTON (MI-06),H6MI04113
GENEVIEVE COLLINS (TX-32),H0TX32087
GREGORY PENCE (IN-06),H8IN06129
GUY RESCHENTHALER (PA-14),H8PA18199
HAKEEM JEFFRIES (NY-08),H2NY10092
HILLARY SCHOLTEN (MI-03),H0MI03316
JACQUELINE GORDON (NY-02),H0NY02192
JAIME HERRERA BEUTLER (WA-03),H0WA03187
JAMAAL BOWMAN (NY-16),H0NY16143
JAMES BISHOP (NC-09),H0NC09187
JAMES HAGEDORN (MN-01),H0MN01045
JAMES INHOFE (OK-SEN),S4OK00083
JAMES JORDAN (OH-04),H6OH04082
JEANNE IVES (IL-06),H0IL06060
JEFF VAN DREW (NJ-02),H8NJ02166
JENNIFER PERELMAN (FL-23),H0FL23082
JOAQUIN CASTRO (TX-20),H2TX35011
JOE COLLINS (CA-43),H0CA43108
JOE WILSON (SC-02),H2SC02059
JOHN BERGMAN (MI-01),H6MI01226
JOHN CARTER (TX-31),H2TX31044
JOHN CORNYN (TX-SEN),S2TX00106
JOHN DELANEY (USA),P00006213
JOHN JAMES (MI-SEN),S8MI00372
JOHN KATKO (NY-24),H4NY24073
JOHN WALSH (CO-SEN),S0CO00518
JON HOADLEY (MI-06),H0MI06152
JONI ERNST (IA-SEN),S4IA00129
JOSEPH KENNEDY (MA-04),H2MA04073
JOSEPH SESTAK (USA),P00012567
JOSH GOTTHEIMER (NJ-05),H6NJ05171
JOSHUA COLLINS (WA-10),H0WA10018
JOSHUA MAHONY (AR-SEN),S0AR00200
JULIA BROWNLEY (CA-26),H2CA00120
KAREN HANDEL (GA-06),H8GA06286
KATE SCHRODER (OH-01),H0OH01099
KATHLEEN WILLIAMS (MT-AL),H8MT01232
KAY GRANGER (TX-12),H6TX12060
KEVIN MCCARTHY (CA-23),H6CA22125
KIMBERLY GRAHAM (IA-SEN),S0IA00168
LACY JOHNSON (MN-05),H0MN05178
LEE ZELDIN (NY-01),H8NY01148
LINDSEY GRAHAM (SC-SEN),S0SC00149
LYNN AFENDOULIS (MI-03),H0MI03290
MAGGIE TOULOUSE OLIVER (NM-SEN),S0NM00074
MARGARET GOOD (FL-16),H0FL16094
MARIA SALAZAR (FL-27),H8FL27185
MARK GREEN (TN-07),H8TN07076
MARTHA MCSALLY (AZ-SEN),S8AZ00221
MCKAYLA WILKES (MD-05),H0MD05183
MICHAEL BROIHIER (KY-SEN),S0KY00321
MICHAEL GALLAGHER (WI-08),H6WI08155
MICHAEL GARCIA (CA-25),H0CA25105
MICHAEL JOHNSTON (CO-SEN),S0CO00468
MICHAEL MCCAUL (TX-10),H4TX10093
MICHAEL WALTZ (FL-06),H8FL06148
MICHELLE STEEL (CA-48),H0CA48198
MIKE ROUNDS (SD-SEN),S4SD00049
MITCH MCCONNELL (KY-SEN),S2KY00012
MONDAIRE JONES (NY-17),H0NY17174
MORGAN HARPER (OH-03),H0OH03103
NANCY GOROFF (NY-01),H0NY01186
NANCY MACE (SC-01),H0SC01394
NICOLE MALLIOTAKIS (NY-11),H0NY11078
NIKKI FOSTER (OH-01),H0OH01081
PETER DEFAZIO (OR-04),H6OR04047
PRITESH GANDHI (TX-10),H0TX10216
RAUL GRIJALVA (AZ-03),H2AZ07070
RITA HART (IA-02),H0IA02156
RITCHIE TORRES (NY-15),H0NY15160
RODNEY DAVIS (IL-13),H2IL13120
ROYCE WEST (TX-SEN),S0TX00266
SARAH RIGGS AMICO (GA-SEN),S0GA00401
SCHERIE MURRAY (NY-14),H0NY14270
SCOTT PERRY (PA-10),H2PA04135
SCOTT TIPTON (CO-03),H6CO03139
SHELLEY CAPITO (WV-SEN),S4WV00159
SRI KULKARNI (TX-22),H8TX22313
STEPHANIE BICE (OK-05),H0OK05205
STEVE CHABOT (OH-01),H8OH01043
STEVE SCALISE (LA-01),H0LA01087
STEVEN DAINES (MT-SEN),S2MT00096
STEVEN WATKINS (KS-02),H8KS02199
SUSAN COLLINS (ME-SEN),S6ME00159
TERESA LEGER (NM-03),H0NM03102
THOM TILLIS (NC-SEN),S4NC00162
THOMAS COTTON (AR-SEN),S4AR00103
THOMAS EMMER (MN-06),H4MN06087
THOMAS KEAN (NJ-07),H0NJ07261
TIMOTHY RYAN (USA),P00011338
VERNON BUCHANAN (FL-16),H6FL13148
VICKY HARTZLER (MO-04),H0MO04086
VINCENT SPANO (FL-15),H8FL15230
VIRGINIA FOXX (NC-05),H4NC05146
WESLEY HUNT (TX-07),H0TX07170
WILLIAM CASSIDY (LA-SEN),S4LA00107
WILMOT COLLINS (MT-SEN),S0MT00090
YOUNG KIM (CA-39),H8CA39240
